City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
564,Jais,IN,78.1,clear sky,26.25,81.5333,Jawaharganj
572,Vaitape,PF,75.42,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
578,Puerto Ayacucho,VE,75.61,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
583,Mazagao,BR,80.65,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
591,Bandarbeyla,SO,79.74,scattered clouds,9.4942,50.8122,JABIR HOTEL
599,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
606,Karwar,IN,87.33,clear sky,14.8,74.1333,Netalco Connects
610,Catia La Mar,VE,81.99,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
611,Waingapu,ID,85.86,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
616,Kandrian,PG,78.69,moderate rain,-6.2167,149.55,Kandrian Station
618,Maragogi,BR,75.06,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
619,Martaban,MM,89.6,broken clouds,16.5314,97.6111,Lu Wa Gyi Guest House
620,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
622,Kirakira,SB,82.58,overcast clouds,-10.4544,161.9205,SanBiz Lodge
625,San Policarpo,PH,83.28,light rain,12.1791,125.5072,Agapita M. Nicart
626,Eirunepe,BR,75.0,broken clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
632,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
640,Alugan,PH,83.17,light rain,12.2188,125.4808,JM Lodge
642,Ibra,OM,82.44,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
647,Luganville,VU,81.19,few clouds,-15.5333,167.1667,The Espiritu Hotel
649,Xapuri,BR,78.66,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
650,Aripuana,BR,75.09,few clouds,-9.1667,-60.6333,
651,Port Keats,AU,88.7,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
652,Les Cayes,HT,75.25,scattered clouds,18.2,-73.75,Villa Orphee
654,Sibu,MY,82.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
659,Bambanglipuro,ID,83.57,overcast clouds,-7.95,110.2833,Puri Brata
663,Saint-Paul,RE,79.36,light rain,-21.0096,55.2707,Boucan Canot
664,Ambulu,ID,84.0,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
666,Wajir,KE,81.27,scattered clouds,1.7471,40.0573,Mahatallah Hotel
667,Bac Lieu,VN,84.47,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
669,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
672,Urucui,BR,78.37,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
674,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
675,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
678,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
681,Kiama,AU,78.39,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
690,Siruguppa,IN,83.19,scattered clouds,15.6333,76.9,Amate House
