City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,Santarem,-2.4431,-54.7083,75.33,100,0,3.44,BR,2022-09-20 04:33:31
264,Golden Gate,26.1879,-81.6951,77.02,76,0,6.91,US,2022-09-20 04:33:32
265,Prieska,-29.6641,22.7474,45.91,70,67,12.28,ZA,2022-09-20 04:33:32
266,Salihorsk,52.7876,27.5415,46.98,87,100,7.07,BY,2022-09-20 04:33:33
267,Vierzon,47.2101,2.0625,45.19,72,1,6.06,FR,2022-09-20 04:33:33
268,Lazaro Cardenas,17.9583,-102.2,76.39,93,100,5.88,MX,2022-09-20 04:33:34
269,Ayagoz,47.9714,80.4392,70.84,16,0,17.22,KZ,2022-09-20 04:33:34
270,Ratnagiri,16.9833,73.3,80.71,72,86,4.23,IN,2022-09-20 04:33:35
271,San Jose,37.3394,-121.895,66.22,69,75,6.91,US,2022-09-20 04:33:35
272,Krumovgrad,41.4667,25.65,52.7,64,0,4.59,BG,2022-09-20 04:34:35
273,Yar-Sale,66.8333,70.8333,40.14,88,100,16.15,RU,2022-09-20 04:34:36
274,Manaure,11.7751,-72.4445,81.57,79,99,10.87,CO,2022-09-20 04:34:36
275,Tuatapere,-46.1333,167.6833,52.59,92,78,7.65,NZ,2022-09-20 04:34:37
276,Winnemucca,40.973,-117.7357,68.05,28,0,6.91,US,2022-09-20 04:34:37
277,Trinidad,-14.8333,-64.9,84.92,45,28,4.14,BO,2022-09-20 04:33:25
278,Byron Bay,-28.65,153.6167,73.94,63,9,11.9,AU,2022-09-20 04:34:38
279,Tecoanapa,16.5167,-98.75,77.31,89,100,2.39,MX,2022-09-20 04:34:38
280,Chuy,-33.6971,-53.4616,55.96,95,99,5.26,UY,2022-09-20 04:34:39
281,Dhekiajuli,26.7,92.5,88.16,71,90,6.73,IN,2022-09-20 04:34:39
282,Praya,14.9215,-23.5087,75.74,83,20,9.22,CV,2022-09-20 04:34:40
283,Osa,57.2829,55.4567,62.42,88,100,11.54,RU,2022-09-20 04:34:40
284,Santa Rosalia,27.3167,-112.2833,81.07,77,99,5.28,MX,2022-09-20 04:34:40
285,Guerrero Negro,27.9769,-114.0611,69.6,79,74,13.06,MX,2022-09-20 04:34:41
286,El Espinal,16.3333,-94.0667,72.0,92,99,3.89,MX,2022-09-20 04:34:41
